Product Title,Product Type,Variant Title,SKU,Image URL,Location ID,Location Name,Available,On Hand,Threshold,Incoming,Incoming Date
CVT Sport Shifter Kit,Shift Knobs,2014-18' Forester,CTCVS-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/68455891180,El Monte - Warehouse,4,4,40,,
CVT Sport Shifter Kit,Shift Knobs,2014-18' Forester,CTCVS-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/71820017900,Whittier - Warehouse,16,16,40,,
CVT Sport Shifter Kit,Shift Knobs,2018+ Forester,CTCVL-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/68455891180,El Monte - Warehouse,0,0,40,,
CVT Sport Shifter Kit,Shift Knobs,2018+ Forester,CTCVL-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/71820017900,Whittier - Warehouse,12,12,40,,
CVT Sport Shifter Kit,Shift Knobs,2015-21' WRX,CTCVS-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/68455891180,El Monte - Warehouse,3,3,40,,
CVT Sport Shifter Kit,Shift Knobs,2015-21' WRX,CTCVS-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/71820017900,Whittier - Warehouse,11,16,40,,
XTI Carbon Fiber Fender Kit,CF Aero,FRP Unpainted,FND14F-FRP,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/WhatsAppImage2021-08-30at7.40.49PM.jpg?v=1651699643,gid://shopify/Location/68455891180,El Monte - Warehouse,0,0,1,,
XTI Carbon Fiber Fender Kit,CF Aero,FRP Unpainted,FND14F-FRP,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/WhatsAppImage2021-08-30at7.40.49PM.jpg?v=1651699643,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,1,,
XTI Carbon Fiber Fender Kit,CF Aero,FRP Unpainted with CF Vent,FND14F-CFV,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/WhatsAppImage2021-08-30at7.40.49PM_1.jpg?v=1651699631,gid://shopify/Location/68455891180,El Monte - Warehouse,0,0,1,,
XTI Carbon Fiber Fender Kit,CF Aero,FRP Unpainted with CF Vent,FND14F-CFV,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/WhatsAppImage2021-08-30at7.40.49PM_1.jpg?v=1651699631,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,1,,
XTI Carbon Fiber Fender Kit,CF Aero,Standard Weave,FND14F-3KCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/WhatsAppImage2021-08-30at7.40.49PM.jpg?v=1651699643,gid://shopify/Location/68455891180,El Monte - Warehouse,0,0,1,,
XTI Carbon Fiber Fender Kit,CF Aero,Standard Weave,FND14F-3KCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/WhatsAppImage2021-08-30at7.40.49PM.jpg?v=1651699643,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,1,,
STI Louvre Cover - 08' + STI,Engine Dress-up,Wrinkle Red,LVC-RD-1,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/ATK_3098.jpg?v=1684956140,gid://shopify/Location/68455891180,El Monte - Warehouse,9,9,10,,
STI Louvre Cover - 08' + STI,Engine Dress-up,Wrinkle Red,LVC-RD-1,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/ATK_3098.jpg?v=1684956140,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,10,,
STI Louvre Cover - 08' + STI,Engine Dress-up,Wrinkle Black,LVC-BK-1,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/ATK_3099.jpg?v=1684956111,gid://shopify/Location/68455891180,El Monte - Warehouse,11,12,10,,
STI Louvre Cover - 08' + STI,Engine Dress-up,Wrinkle Black,LVC-BK-1,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/ATK_3099.jpg?v=1684956111,gid://shopify/Location/71820017900,Whittier - Warehouse,1,1,10,,
STI Louvre Cover - 08' + STI,Engine Dress-up,White Hot,LVC-WT-1,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/ATK_3109.jpg?v=1684956110,gid://shopify/Location/68455891180,El Monte - Warehouse,8,8,10,,
STI Louvre Cover - 08' + STI,Engine Dress-up,White Hot,LVC-WT-1,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/ATK_3109.jpg?v=1684956110,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,10,,
STI Louvre Cover - 08' + STI,Engine Dress-up,Silver,LVC-SL-1,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/ATK_3096.jpg?v=1684956140,gid://shopify/Location/68455891180,El Monte - Warehouse,17,17,10,,
STI Louvre Cover - 08' + STI,Engine Dress-up,Silver,LVC-SL-1,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/ATK_3096.jpg?v=1684956140,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,10,,
STI Louvre Cover - 08' + STI,Engine Dress-up,Neon Yellow,LVC-NY-1,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/ATK_3091.jpg?v=1684956140,gid://shopify/Location/68455891180,El Monte - Warehouse,6,6,10,,
STI Louvre Cover - 08' + STI,Engine Dress-up,Neon Yellow,LVC-NY-1,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/ATK_3091.jpg?v=1684956140,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,10,,
Halo Roof Spoiler - 18' + Crosstrek,CF Aero,Standard Weave,HALO-3KCF-GTX,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/IMG_2730-2.jpg?v=1668758880,gid://shopify/Location/68455891180,El Monte - Warehouse,5,5,10,,
Halo Roof Spoiler - 18' + Crosstrek,CF Aero,Standard Weave,HALO-3KCF-GTX,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/IMG_2730-2.jpg?v=1668758880,gid://shopify/Location/71820017900,Whittier - Warehouse,5,5,10,,
Halo Roof Spoiler - 18' + Crosstrek,CF Aero,Forged Carbon Weave,HALO-FCF-GTX,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/IMG_2730-2.jpg?v=1668758880,gid://shopify/Location/68455891180,El Monte - Warehouse,5,5,10,,
Halo Roof Spoiler - 18' + Crosstrek,CF Aero,Forged Carbon Weave,HALO-FCF-GTX,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/IMG_2730-2.jpg?v=1668758880,gid://shopify/Location/71820017900,Whittier - Warehouse,5,5,10,,
Halo Roof Spoiler - 18' + Crosstrek,CF Aero,Piano Black,HALO-BK-GTX,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/IMG_2730-2.jpg?v=1668758880,gid://shopify/Location/68455891180,El Monte - Warehouse,5,5,10,,
Halo Roof Spoiler - 18' + Crosstrek,CF Aero,Piano Black,HALO-BK-GTX,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/IMG_2730-2.jpg?v=1668758880,gid://shopify/Location/71820017900,Whittier - Warehouse,5,5,10,,
XTI Carbon Fiber Front Grill,CF Aero,Default Title,XTIGRILL,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/NEWGRILL_-2.jpg?v=1669023969,gid://shopify/Location/68455891180,El Monte - Warehouse,-1,0,1,,
XTI Carbon Fiber Front Grill,CF Aero,Default Title,XTIGRILL,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/NEWGRILL_-2.jpg?v=1669023969,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,1,,
Airblades 2.0,Engine Dress-up,Neon Yellow,AB152-NY,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/B0005957_8771e0f7-14e0-46d3-9c35-8a6377c49f30.jpg?v=1684953486,gid://shopify/Location/68455891180,El Monte - Warehouse,1,1,20,,
Airblades 2.0,Engine Dress-up,Neon Yellow,AB152-NY,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/B0005957_8771e0f7-14e0-46d3-9c35-8a6377c49f30.jpg?v=1684953486,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,20,,
Airblades 2.0,Engine Dress-up,Wrinkle Red,AB152-RD,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/B0005948.jpg?v=1684953486,gid://shopify/Location/68455891180,El Monte - Warehouse,19,19,20,,
Airblades 2.0,Engine Dress-up,Wrinkle Red,AB152-RD,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/B0005948.jpg?v=1684953486,gid://shopify/Location/71820017900,Whittier - Warehouse,3,3,20,,
